id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
59,10,2,1,1,,,,6,4671,"{""en_US"": ""3D Artist"", ""vi_VN"": ""3D Artist""}",,,t,2025-08-18 17:49:26.327908,2026-04-17 07:37:10.822897,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
149,10,1,0,1,,,,6,6,"{""en_US"": ""Internal Communication Intern"", ""vi_VN"": ""Internal Communication Intern""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
55,10,2,1,1,,,,6,6,"{""en_US"": ""Graphic Designer"", ""vi_VN"": ""Graphic Designer""}",,,t,2025-08-18 17:49:26.327908,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
54,10,2,1,1,,,,6,6,"{""en_US"": ""Leader Designer"", ""vi_VN"": ""Leader Designer""}",,,t,2025-08-18 17:49:26.327908,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
121,10,1,0,1,,,,6,6,"{""en_US"": ""Content Editor"", ""vi_VN"": ""Content Editor""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
165,10,2,1,1,,,,6,6,"{""en_US"": ""Creative Content"", ""vi_VN"": ""Creative Content""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
167,10,1,0,1,,,,6,6,"{""en_US"": ""Senior Performance Marketing"", ""vi_VN"": ""Senior Performance Marketing""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
145,10,1,0,1,,,,6,6,"{""en_US"": ""Learning & Development Intern"", ""vi_VN"": ""Learning & Development Intern""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
88,0,3,2,1,,,,6,6,"{""en_US"": ""Concept Designer"", ""vi_VN"": ""Concept Designer""}",,,t,2025-09-10 14:11:59.136517,2025-12-05 10:13:12.700089,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
42,10,9,8,1,,,,6,6,"{""en_US"": ""Department Manager"", ""vi_VN"": ""Department Manager""}",,,t,2025-08-18 17:49:26.327908,2025-12-07 12:14:56.654636,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
